claim_text,image_path,label,source_dataset
NIH study confirms benefits of intensive blood pressure management among seniors aged 75 and older,data/raw/images/fakehealth/fh_news_reviews_00423_00000.jpg,0,fakehealth
Lucentis Proves Effective Against Proliferative Diabetic Retinopathy,data/raw/images/fakehealth/fh_news_reviews_00520_00001.jpg,1,fakehealth
New psoriasis drug is more effective than current treatment,data/raw/images/fakehealth/fh_news_reviews_00565_00002.jpg,0,fakehealth
MRI technique differentiates benign breast lesions from malignancies,data/raw/images/fakehealth/fh_news_reviews_00108_00003.jpg,0,fakehealth
Mounting evidence demonstrates improved cognitive function from cocoa flavanol consumption,data/raw/images/fakehealth/fh_news_reviews_00598_00004.jpg,1,fakehealth
"Concurrent chemotherapy, proton therapy improves survival in patients with advanced lung cancer",data/raw/images/fakehealth/fh_news_reviews_00195_00005.jpg,1,fakehealth
Personalized treatment for those in blood pressure 'gray zone',data/raw/images/fakehealth/fh_news_reviews_00297_00006.jpg,1,fakehealth
Restoring testosterone rather than replacing it helps safeguard a man's fertility,data/raw/images/fakehealth/fh_news_reviews_00534_00007.jpg,0,fakehealth
More men at risk for prostate cancer as a result of less regular screening,data/raw/images/fakehealth/fh_news_reviews_00546_00009.jpg,1,fakehealth
Testosterone therapy provides protection against cardiovascular disease in men with low testosterone,data/raw/images/fakehealth/fh_news_reviews_00282_00010.jpg,0,fakehealth
Drug for narcolepsy could help food addicts lose weight,data/raw/images/fakehealth/fh_news_reviews_00315_00011.jpg,0,fakehealth
Immunotherapy shows promise in preventing leukemia relapse,data/raw/images/fakehealth/fh_news_reviews_00318_00012.jpg,0,fakehealth
New MRI method aids long-term concussion prognosis,data/raw/images/fakehealth/fh_news_reviews_00293_00013.jpg,0,fakehealth
Continuing Developments In Medical Consensus On The Utility Of Peppermint Oil For Irritable Bowel Syndrome (IBS),data/raw/images/fakehealth/fh_news_reviews_00355_00014.jpg,0,fakehealth
Probiotics improve cognition in Alzheimer's patients,data/raw/images/fakehealth/fh_news_reviews_00331_00015.jpg,0,fakehealth
The Lancet: New heart attack test could identify two-thirds of patients at very low risk of heart attack in the emergency department,data/raw/images/fakehealth/fh_news_reviews_00541_00016.jpg,1,fakehealth
Psoriasis and psoriatic arthritis symptoms curbed by bariatric surgery,data/raw/images/fakehealth/fh_news_reviews_00525_00017.jpg,1,fakehealth
Concussions in kids are detectable by blood test,data/raw/images/fakehealth/fh_news_reviews_00526_00018.jpg,0,fakehealth
Superior Protection by Flublok® Influenza Vaccine in Seniors Documented in New England Journal of Medicine,data/raw/images/fakehealth/fh_news_reviews_00209_00019.jpg,1,fakehealth
"More IV fluids, fewer c-sections",data/raw/images/fakehealth/fh_news_reviews_00264_00020.jpg,1,fakehealth
Fermented dairy products may protect against heart attack,data/raw/images/fakehealth/fh_news_reviews_00017_00021.jpg,0,fakehealth
Exercise reduces heart disease risk in depressed patients,data/raw/images/fakehealth/fh_news_reviews_00497_00022.jpg,1,fakehealth
UAB Optometrist Improves Treatment and Care for Patients with Dry Eye,data/raw/images/fakehealth/fh_news_reviews_00390_00034.jpg,0,fakehealth
"Scalpel-Free Surgery Proves Safe, Effective for Treating Essential Tremor",data/raw/images/fakehealth/fh_news_reviews_00374_00041.jpg,1,fakehealth
Northwestern Medicine offers new Minimally Invasive Breakthrough Treatment for Enlarged Prostate,data/raw/images/fakehealth/fh_news_reviews_00146_00045.jpg,0,fakehealth
"New Study Shows Balloon in a Capsule Helps Patients Lose Nearly Twice as Much Weight Than Diet, Exercise and Lifestyle Therapy Alone",data/raw/images/fakehealth/fh_news_reviews_00336_00052.jpg,0,fakehealth
"FDA approves new, targeted treatment for bladder cancer",data/raw/images/fakehealth/fh_news_reviews_00426_00054.jpg,1,fakehealth
"Study Finds Single, Escalated Dose of Brachytherapy Radiation May Be a Safe and Effective Treatment for Localized Prostate Cancer",data/raw/images/fakehealth/fh_news_reviews_00275_00066.jpg,0,fakehealth
Sun Pharma Announces Positive Topline Results of Confirmatory Phase-3 Clinical Trial for Seciera™ for Treatment of Dry Eye,data/raw/images/fakehealth/fh_news_reviews_00302_00071.jpg,0,fakehealth
New blood test may predict cardiovascular events in patients with or without coronary artery disease,data/raw/images/fakehealth/fh_news_reviews_00267_00072.jpg,1,fakehealth
Ultrasound Headset May Be New Way to Recognize Concussion on the Sidelines,data/raw/images/fakehealth/fh_news_reviews_00446_00077.jpg,1,fakehealth
Eating Foods High in Vitamin C Cuts Risk of Cataract Progression by a Third,data/raw/images/fakehealth/fh_news_reviews_00458_00079.jpg,1,fakehealth
Electrical stimulation in the nose induces sense of smell in human subjects,data/raw/images/fakehealth/fh_news_reviews_00010_00082.jpg,1,fakehealth
Merck Receives FDA Approval of ZEPATIER™ (elbasvir and grazoprevir) for the Treatment of Chronic Hepatitis C Virus Genotype 1 or 4 Infection in Adults Following Priority Review,data/raw/images/fakehealth/fh_news_reviews_00490_00091.jpg,1,fakehealth
Laser-Based Dermatological Procedures Could Be Revolutionized with New Technique,data/raw/images/fakehealth/fh_news_reviews_00250_00094.jpg,0,fakehealth
GSK's candidate shingles vaccine shows high efficacy against shingles and its complications in adults aged 70 years and over in phase III study published in NEJM,data/raw/images/fakehealth/fh_news_reviews_00363_00098.jpg,1,fakehealth
Overnight Fasting May Reduce Breast Cancer Risk in Women,data/raw/images/fakehealth/fh_news_reviews_00603_00100.jpg,0,fakehealth
"Lipogen Targets PMS/PMDD Relief, Naturally",data/raw/images/fakehealth/fh_news_reviews_00474_00109.jpg,0,fakehealth
"Five-Year Follow-Up Study Further Supports Effectiveness and Safety of the Essure® Procedure as a Non-Surgical, Non-Hormonal Option for Permanent Contraception",data/raw/images/fakehealth/fh_news_reviews_00590_00110.jpg,0,fakehealth
UAB Recruiting for Clinical Trial to Determine Therapies for Eradication of Multiple Myeloma,data/raw/images/fakehealth/fh_news_reviews_00074_00114.jpg,0,fakehealth
